Labels,Rainfall,Soil_Moisture,Evapo_Transpiration,Discharge
04-Jan-18,0.07,35.47898182,2.366631958,11.23
05-Jan-18,0.01,34.90275214,1.314411856,12.16
06-Jan-18,0.11,40.65839073,1.494048198,15.667
08-Jan-18,0.05,42.9779244,1.749871076,20.981
09-Jan-18,0.02,42.19369087,1.846383296,18.516
10-Jan-18,0.33,42.33844545,1.568932008,16.159
11-Jan-18,0.12,42.96271322,2.060637635,12.883
12-Jan-18,0.05,43.01967591,1.738910322,12.836
13-Jan-18,0,42.77582177,3.275554913,10.611
15-Jan-18,0,42.65328648,4.13278524,11.409
16-Jan-18,0.01,42.64635155,4.169446455,11.494
17-Jan-18,0,42.20971448,2.589555706,13.534
18-Jan-18,0,41.57585584,3.409149096,11.483
19-Jan-18,0,42.7904419,3.169325261,12.723
20-Jan-18,0,43.06932428,1.449843659,9.186
21-Jan-18,0,42.87138791,2.682651825,59.613
24-Jan-18,0.59,40.31135573,3.55752686,15.194
25-Jan-18,0.3,41.46381585,2.847343403,6.552
27-Jan-18,0.12,42.74554827,3.154134755,22.145
29-Jan-18,0,41.19847647,3.018216358,26.581
30-Jan-18,0,40.055983,3.961878666,20.236
31-Jan-18,0.07,39.57078852,2.300979887,20.45
01-Feb-18,0.37,42.67473796,3.426448923,20.345
02-Feb-18,0.35,41.17139566,2.94139895,13.594
03-Feb-18,0.48,39.47589217,3.063542447,3.578
05-Feb-18,0.5,36.30474212,2.432267628,7.543
06-Feb-18,1.01,37.8693877,2.181081855,28.602
07-Feb-18,1.19,43.01122343,2.115719031,9.229
10-Feb-18,1.19,42.97591897,1.986678775,0
12-Feb-18,2.58,42.6190661,2.156482493,7.273
14-Feb-18,1.99,43.01407022,1.51569167,16.211
16-Feb-18,1,42.96250345,2.188158721,8.085
17-Feb-18,1.01,42.86561111,2.66112332,14.4
20-Feb-18,0.44,42.7874748,3.115953408,7.381
22-Feb-18,0.43,40.9546747,2.525246256,9.232
23-Feb-18,0.64,42.22709994,2.478630301,27.57
24-Feb-18,0.78,41.13942644,2.706687905,17.774
26-Feb-18,1.07,39.12142811,3.051586454,24.931
27-Feb-18,0.84,38.42810272,2.682762932,25.682
28-Feb-18,0.47,39.35845264,3.750177393,29.647
01-Mar-18,0.06,42.67569309,2.775723357,42.429
02-Mar-18,0.77,42.92166712,2.223851424,53.386
03-Mar-18,1.53,42.34518893,3.995957574,86.522
05-Mar-18,0.94,39.2666456,2.572056783,73.643
06-Mar-18,0.73,37.81031497,2.729286152,38.432
07-Mar-18,0.37,39.02912471,2.267132335,35.49
08-Mar-18,0.04,38.17489761,1.703177341,74.762
09-Mar-18,0.03,41.08253952,1.846859971,65.256
10-Mar-18,0.11,42.965743,2.085722993,41.06
12-Mar-18,0.08,42.78347663,2.899221968,61.164
13-Mar-18,0.37,42.91050947,2.262052048,67.331
14-Mar-18,0.84,42.93487782,2.025530502,64.929
15-Mar-18,1.49,42.71001953,3.552892388,66.589
16-Mar-18,2.1,43.01268901,1.77114293,70.339
17-Mar-18,2.47,43.04171219,1.475865985,74.534
19-Mar-18,0.55,42.9424473,1.957644081,74.338
20-Mar-18,0.14,42.69016638,2.381146385,74.204
21-Mar-18,0.38,42.66962699,2.216176601,65.648
22-Mar-18,0.75,41.94509368,2.827212592,77.045
23-Mar-18,0.48,40.31031254,2.790461013,71.302
24-Mar-18,0.35,38.18629944,3.146012878,68.023
26-Mar-18,0.13,35.35819669,2.319496851,63.743
27-Mar-18,0.41,33.9585558,2.582428938,60.91
28-Mar-18,0.08,32.74587786,2.295780247,18.163
31-Mar-18,0.75,32.60037661,2.81132717,70.861
02-Apr-18,1.88,31.05522552,2.13456947,76.951
03-Apr-18,0.49,30.3879556,2.301346305,45.873
04-Apr-18,0.5,29.43887498,2.339268464,16.876
05-Apr-18,0.95,28.76237144,2.320878064,44.308
06-Apr-18,0.6,27.75333518,2.408632528,35.621
07-Apr-18,1.35,26.84517604,2.208846849,48.734
09-Apr-18,1.54,25.1794166,2.314830975,70.916
10-Apr-18,3.31,24.42707563,2.521751676,59.56
11-Apr-18,3.56,24.01519543,2.187469378,70.114
12-Apr-18,3.21,23.43378175,2.408525991,35.842
